"TIME","GEO","UNIT","MOT_NRG","Value","Flag and Footnotes"
"2013","Netherlands","Number","Bi-fuel",":",""
"2013","Netherlands","Number","Other","2,636",""
"2013","Austria","Number","Petroleum products","136,689",""
"2013","Austria","Number","Liquefied petroleum gases (LPG)",":",""
"2013","Austria","Number","Diesel","181,061",""
"2013","Austria","Number","Natural Gas","455",""
"2013","Austria","Number","Electricity","654",""
"2013","Austria","Number","Alternative Energy","1,285",""
"2013","Austria","Number","Petrol (excluding hybrids)  ","134,276",""
"2013","Austria","Number","Hybrid electric-petrol","2,259",""
"2013","Austria","Number","Plug-in hybrid petrol-electric  ","154",""
"2013","Austria","Number","Diesel (excluding hybrids)  ","180,901",""
"2013","Austria","Number","Hybrid diesel-electric","130",""
"2013","Austria","Number","Plug-in hybrid diesel-electric  ","30",""
"2013","Austria","Number","Hydrogen and fuel cells ",":",""
"2013","Austria","Number","Bioethanol",":",""
"2013","Austria","Number","Biodiesel",":",""
"2013","Austria","Number","Bi-fuel","176",""
"2013","Austria","Number","Other",":",""
"2013","Poland","Number","Petroleum products","449,741",""
"2013","Poland","Number","Liquefied petroleum gases (LPG)","68,869",""
"2013","Poland","Number","Diesel","468,097",""
"2013","Poland","Number","Natural Gas","266",""
"2013","Poland","Number","Electricity","793",""
"2013","Poland","Number","Alternative Energy","69,971",""
"2013","Poland","Number","Petrol (excluding hybrids)  ",":",""
"2013","Poland","Number","Hybrid electric-petrol",":",""
"2013","Poland","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Poland","Number","Diesel (excluding hybrids)  ",":",""
"2013","Poland","Number","Hybrid diesel-electric",":",""
"2013","Poland","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Poland","Number","Hydrogen and fuel cells ","8",""
"2013","Poland","Number","Bioethanol","16",""
"2013","Poland","Number","Biodiesel","0",""
"2013","Poland","Number","Bi-fuel","8",""
"2013","Poland","Number","Other","11",""
"2013","Portugal","Number","Petroleum products",":",""
"2013","Portugal","Number","Liquefied petroleum gases (LPG)",":",""
"2013","Portugal","Number","Diesel",":",""
"2013","Portugal","Number","Natural Gas",":",""
"2013","Portugal","Number","Electricity",":",""
"2013","Portugal","Number","Alternative Energy",":",""
"2013","Portugal","Number","Petrol (excluding hybrids)  ",":",""
"2013","Portugal","Number","Hybrid electric-petrol",":",""
"2013","Portugal","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Portugal","Number","Diesel (excluding hybrids)  ",":",""
"2013","Portugal","Number","Hybrid diesel-electric",":",""
"2013","Portugal","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Portugal","Number","Hydrogen and fuel cells ",":",""
"2013","Portugal","Number","Bioethanol",":",""
"2013","Portugal","Number","Biodiesel",":",""
"2013","Portugal","Number","Bi-fuel",":",""
"2013","Portugal","Number","Other",":",""
"2013","Romania","Number","Petroleum products","141,921",""
"2013","Romania","Number","Liquefied petroleum gases (LPG)","465",""
"2013","Romania","Number","Diesel","136,673",""
"2013","Romania","Number","Natural Gas","99",""
"2013","Romania","Number","Electricity","579",""
"2013","Romania","Number","Alternative Energy","1,146",""
"2013","Romania","Number","Petrol (excluding hybrids)  ",":",""
"2013","Romania","Number","Hybrid electric-petrol",":",""
"2013","Romania","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Romania","Number","Diesel (excluding hybrids)  ",":",""
"2013","Romania","Number","Hybrid diesel-electric",":",""
"2013","Romania","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Romania","Number","Hydrogen and fuel cells ",":",""
"2013","Romania","Number","Bioethanol",":",""
"2013","Romania","Number","Biodiesel",":",""
"2013","Romania","Number","Bi-fuel",":",""
"2013","Romania","Number","Other","3",""
"2013","Slovenia","Number","Petroleum products","23,942",""
"2013","Slovenia","Number","Liquefied petroleum gases (LPG)",":",""
"2013","Slovenia","Number","Diesel","28,016",""
"2013","Slovenia","Number","Natural Gas",":",""
"2013","Slovenia","Number","Electricity",":",""
"2013","Slovenia","Number","Alternative Energy","10",""
"2013","Slovenia","Number","Petrol (excluding hybrids)  ",":",""
"2013","Slovenia","Number","Hybrid electric-petrol",":",""
"2013","Slovenia","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Slovenia","Number","Diesel (excluding hybrids)  ",":",""
"2013","Slovenia","Number","Hybrid diesel-electric",":",""
"2013","Slovenia","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Slovenia","Number","Hydrogen and fuel cells ",":",""
"2013","Slovenia","Number","Bioethanol",":",""
"2013","Slovenia","Number","Biodiesel",":",""
"2013","Slovenia","Number","Bi-fuel",":",""
"2013","Slovenia","Number","Other",":",""
"2013","Finland","Number","Petroleum products","64,194",""
"2013","Finland","Number","Liquefied petroleum gases (LPG)","0",""
"2013","Finland","Number","Diesel","38,697",""
"2013","Finland","Number","Natural Gas","21",""
"2013","Finland","Number","Electricity","50",""
"2013","Finland","Number","Alternative Energy","2",""
"2013","Finland","Number","Petrol (excluding hybrids)  ",":",""
"2013","Finland","Number","Hybrid electric-petrol",":",""
"2013","Finland","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Finland","Number","Diesel (excluding hybrids)  ",":",""
"2013","Finland","Number","Hybrid diesel-electric",":",""
"2013","Finland","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Finland","Number","Hydrogen and fuel cells ","1",""
"2013","Finland","Number","Bioethanol","402",""
