time,country,motor,value
2014,Cyprus,Other,0
2014,Latvia,Petroleum products,5759
2014,Latvia,Liquefied petroleum gases (LPG),0
2014,Latvia,Diesel,7029
2014,Latvia,Natural Gas,211
2014,Latvia,Electricity,174
2014,Latvia,Alternative Energy,385
2014,Latvia,Petrol (excluding hybrids),5758
2014,Latvia,Hybrid electric-petrol,1
2014,Latvia,Plug-in hybrid petrol-electric,0
2014,Latvia,Diesel (excluding hybrids),7029
2014,Latvia,Hybrid diesel-electric,0
2014,Latvia,Plug-in hybrid diesel-electric,0
2014,Latvia,Hydrogen and fuel cells,0
2014,Latvia,Bioethanol,0
2014,Latvia,Biodiesel,0
2014,Latvia,Bi-fuel,0
2014,Latvia,Other,0
2014,Lithuania,Petroleum products,35029
2014,Lithuania,Liquefied petroleum gases (LPG),21
2014,Lithuania,Diesel,100310
2014,Lithuania,Natural Gas,0
2014,Lithuania,Electricity,46
2014,Lithuania,Alternative Energy,759
2014,Lithuania,Petrol (excluding hybrids),0
2014,Lithuania,Hybrid electric-petrol,0
2014,Lithuania,Plug-in hybrid petrol-electric,0
2014,Lithuania,Diesel (excluding hybrids),0
2014,Lithuania,Hybrid diesel-electric,0
2014,Lithuania,Plug-in hybrid diesel-electric,0
2014,Lithuania,Hydrogen and fuel cells,0
2014,Lithuania,Bioethanol,0
2014,Lithuania,Biodiesel,0
2014,Lithuania,Bi-fuel,0
2014,Lithuania,Other,692
2014,Hungary,Petroleum products,70185
2014,Hungary,Liquefied petroleum gases (LPG),3
2014,Hungary,Diesel,91757
2014,Hungary,Natural Gas,268
2014,Hungary,Electricity,71
2014,Hungary,Alternative Energy,2478
2014,Hungary,Petrol (excluding hybrids),70185
2014,Hungary,Hybrid electric-petrol,0
2014,Hungary,Plug-in hybrid petrol-electric,0
2014,Hungary,Diesel (excluding hybrids),91757
2014,Hungary,Hybrid diesel-electric,0
2014,Hungary,Plug-in hybrid diesel-electric,0
2014,Hungary,Hydrogen and fuel cells,0
2014,Hungary,Bioethanol,0
2014,Hungary,Biodiesel,0
2014,Hungary,Bi-fuel,779
